"","StationaryDistributionINF","StationaryDistributionPER","GOP","Importance","Membership","QuantileDR.10","QuantileDR.25","QuantileDR.35","QuantileDR.45","QuantileDR.50","QuantileDR.65","QuantileDR.75","QuantileDR.85","QuantileDR.95","Ticker","Name"
"XUH.TO",0.009,0.001,0.026,0.795,3,-0.008,-0.003,-0.001,0,0.001,0.004,0.005,0.007,0.011,"XUH.TO","iShares Core S&P U.S. Total Market Index ETF (CAD-Hedged)"
"XIN.TO",0.012,0.003,0.033,0.524,3,-0.008,-0.003,-0.001,0,0.001,0.003,0.004,0.006,0.01,"XIN.TO","iShares MSCI EAFE Index ETF (CAD-Hedged)"
"XHC.TO",0.004,0.005,0.014,0.499,3,-0.009,-0.003,-0.001,0,0.001,0.004,0.005,0.008,0.012,"XHC.TO","iShares Global Healthcare Index ETF (CAD-Hedged)"
"CYH.TO",0.003,0.004,0.011,0.474,3,-0.006,-0.003,-0.002,0,0,0.002,0.004,0.005,0.009,"CYH.TO","iShares Global Monthly Dividend Index ETF (CAD-Hedged)"
"XQQ.TO",0.007,0.001,0.019,1.04,3,-0.01,-0.003,-0.001,0,0.001,0.004,0.007,0.01,0.017,"XQQ.TO","iShares NASDAQ 100 Index ETF (CAD-Hedged)"
"XSP.TO",0.023,0.001,0.057,0.806,3,-0.007,-0.002,-0.001,0.001,0.001,0.003,0.005,0.007,0.012,"XSP.TO","iShares Core S&P 500 Index ETF (CAD-Hedged)"
"XFF.TO",0.004,0.002,0.014,0.682,3,-0.008,-0.004,-0.002,0,0,0.003,0.005,0.008,0.011,"XFF.TO","iShares Edge MSCI Multifactor EAFE Index ETF (CAD-Hedged)"
"ZUD.TO",0.005,0.003,0.015,0.614,3,-0.007,-0.002,-0.001,0,0,0.002,0.005,0.007,0.009,"ZUD.TO","BMO US Dividend Hedged to CAD ETF"
"VEF.TO",0.01,0.003,0.026,0.559,3,-0.007,-0.003,-0.002,0,0.001,0.003,0.004,0.006,0.01,"VEF.TO","Vanguard FTSE Developed All Cap ex U.S. Index ETF (CAD-hedged)"
"ZUB.TO",0.002,0.001,0.008,0.932,3,-0.012,-0.006,-0.003,0,0.001,0.005,0.007,0.012,0.018,"ZUB.TO","BMO Equal Weight US Banks Hedged to CAD Index ETF"
