"","Bank rate","BAR 1-month","BAR 2-month","BAR 3-month","GCBBY 10 year","GCBBY 2 year","GCBBY 3 year","GCBBY 5 year","GCBBY 7 year","GCBBY long term","GCMB 1 to 3 years","GCMB 3 to 5 years","GCMB 5 to 10 years","GCMB over 10 years","Operating band, high","Operating band, low","Overnight money market financing","PCPR 1-month","PCPR 2-month","PCPR 3-month","RRBBYLT","Target rate","TrB1-month","TrB1-year","TrB2-month","TrB3-month","TrB6-month"
"2018-08-29",0.0041049473602831,0.0112068890020127,0.0361296326991929,0.0492829733045022,0.0372862601233629,0.085195400367411,0.0628743934687446,0.0326341558535704,0.0378852884561457,0.0201959648151425,0.0910330408383672,0.0361211960411697,0.0358949175114778,0.0254233581521447,0.00424543595762004,0.00398913594087847,0.00491669001896503,0.0573561492469609,0.0395289273554178,0.0613848198187505,0.000776294351029462,0.00374128139403476,0.0147297610787829,0.0923660712781845,0.0311313377236724,0.0385939963847094,0.0819716814574663
"2018-08-30",0.0010182981594237,0.00803366939304139,0.0377198891178051,0.0541240886306292,0.0351810301050548,0.0868051743026132,0.0706251300169294,0.0307272164136799,0.0334135560538045,0.0181244137393626,0.0875984351454378,0.0314157378990435,0.0363068578406604,0.0194378991331621,0.00139036817510136,0.00117378637485737,0.00201074173902683,0.065431383959224,0.044776780217924,0.0637443562169581,0.00126169181679968,0.00112860069674445,0.0132554988603055,0.0867906138302832,0.0398656170516385,0.0484154020400353,0.0802237630704541
"2018-08-31",0.00117544089535151,0.00628845743200709,0.0415810808521128,0.0554167656943486,0.0343515582161325,0.0786379250320758,0.061997969624969,0.0372479013407582,0.0342855295450454,0.0187057456458793,0.0851005396423961,0.0389431718504272,0.0399951017151984,0.0208809351473301,0.00162837939308162,0.00142772565799834,0.00168601133800848,0.0653206840150038,0.0409352135029851,0.069109451489979,0.00139606418656247,0.000990001644993944,0.0150097420819792,0.0712526371467381,0.0390661150642743,0.0590186528926381,0.0785511989517254
"2018-09-01",0.00147180014926798,0.00625925112633226,0.0379755461993343,0.0585318070931008,0.0358185867361552,0.0707046252843346,0.0547399072121181,0.0363357162817798,0.0382591245431413,0.0202584394852231,0.0827469148889993,0.0385671041981946,0.0391681146606841,0.0244944557089182,0.00130821761635839,0.00122855165975069,0.00176118374011638,0.0582347037003365,0.0388020965861897,0.0624628381141891,0.00156185316302497,0.00120404940812942,0.015250326228121,0.0766994826824738,0.0358250984523086,0.0754480912856792,0.0848821137957388
"2018-09-02",0.00132888384018547,0.00632061903828323,0.0463376868640518,0.0599394405292542,0.0389916255461867,0.0658846142959559,0.0527172427829716,0.038564974755222,0.0432979136070989,0.0239018456788349,0.075726254938911,0.040338362468964,0.0430545592556894,0.0271539866505598,0.00138256915320091,0.00116239574584307,0.00208586446419115,0.0623789934920254,0.0376664131330262,0.0649297330364445,0.00184259253619266,0.00143863729260889,0.0159421021345253,0.0709841010511549,0.0427861991033092,0.0614575747443518,0.0723848138609573
"2018-09-03",0.00142308875000516,0.00590340304830339,0.045509767510005,0.0590932845531871,0.0369565873864681,0.0697421496574947,0.0505303460641897,0.0356354062743711,0.0357083453698864,0.0228662274025738,0.0977639874161422,0.0373853072676447,0.0437349524686312,0.0252042329715229,0.00154502657407896,0.00162681112866751,0.0021297142211148,0.0588131861087317,0.0403003193415408,0.060678026615019,0.00216078246500149,0.00161589041455831,0.0170485932130594,0.0698951476814806,0.0340934037936053,0.059274826096292,0.0833611862064247
"2018-09-04",0.00186790858872231,0.00660007373691713,0.0480064452652218,0.0729170842675815,0.0361909299098851,0.0604067076641902,0.0360575723156071,0.033890874494588,0.0360279723860092,0.0239032802884552,0.074015701869502,0.0340257338748211,0.041223466633963,0.0268528295190254,0.00122942533315343,0.00141976571992119,0.00254531462209676,0.0678054456351417,0.0428556315922494,0.0755285401359733,0.00179336363722017,0.00174850644352564,0.0174361024098368,0.0620109224453308,0.0317979978958194,0.074315602884606,0.0875268004306364
"2018-09-05",0.00151446993067466,0.00713535211250605,0.0508823508967368,0.0665955459630675,0.0459579476593959,0.0574131571744462,0.0373707813719392,0.0366093693913904,0.0468536148005722,0.0309841133011171,0.0673350034566359,0.0392516821722146,0.0495150218112118,0.033047053745441,0.00145838328269303,0.00149612719668515,0.00288964637043705,0.0614956764892771,0.0380500152481685,0.0680663293919422,0.0013847600269356,0.00195171509745957,0.018062033729751,0.0586734023849995,0.0349400460352,0.059994103079119,0.0810722978799831
"2018-09-06",0.0024215503674465,0.00678648749937426,0.0464364254377407,0.0727710594050551,0.0470171359788862,0.0508705004779346,0.0366850744261497,0.0353819332537973,0.0411493026120655,0.0333430566612745,0.0683010759738243,0.0355759450413205,0.0487919526552945,0.0340402230772142,0.00135862995028106,0.00149005322186622,0.00322540962399719,0.0695311676562166,0.0406963015982849,0.0673351782110322,0.00133232819225567,0.00236730237456746,0.0181420229751079,0.0561959947017384,0.0339520686329235,0.0679397799350075,0.0768620400593436
"2018-09-07",0.00194584948460166,0.0111294364806369,0.055440195536306,0.0742641653422804,0.0451181009167987,0.0450561208637975,0.0382047032768936,0.0331735637970193,0.0404776360912226,0.0317199503772085,0.0572377030774595,0.0326367699297329,0.0467383052845669,0.0357139601920999,0.00160259462581825,0.00177924854613129,0.00346438249751841,0.070424932690006,0.042216815305928,0.0821284267593255,0.00166605634573937,0.00207216640971688,0.0219074087443207,0.0481719848893419,0.0357874781128208,0.0638327646764724,0.076089279746236
"2018-09-08",0.00174050696099811,0.00862108454800612,0.0509613411504063,0.0671375845922089,0.0502229875848809,0.0454403160730354,0.0263611032489996,0.0334695708798531,0.0457535458257395,0.0359006538771973,0.0560879698295502,0.0370381071148689,0.0535503112005949,0.0392403584637879,0.00365416224975626,0.00276623907880096,0.00446034694648301,0.0628205184607721,0.042346252506898,0.072730419387071,0.00173006241296427,0.00172284046470163,0.0195705157827167,0.0505943714316144,0.0326006232622824,0.0704475836326543,0.0830306230331581
"2018-09-09",0.00239254236324835,0.0103890150177064,0.0508211528755089,0.0683619359843734,0.0556535790387532,0.0381946044621812,0.0253173679036876,0.0354634287550207,0.0518228999706379,0.0433097744762836,0.0484325285407054,0.0363976257602787,0.0556159696573027,0.0444809638069819,0.00259608183945403,0.00367000525044338,0.00443262786525799,0.0666550499340857,0.0455090513781738,0.0701268552505462,0.00293809046135473,0.0025752604576721,0.0184633137757162,0.0454865920627904,0.0277529199147548,0.067009430589486,0.0761313326075947
