"","StationaryDistributionINF","StationaryDistributionPER","GOP","Importance","Membership","QuantileDR.10","QuantileDR.25","QuantileDR.35","QuantileDR.45","QuantileDR.50","QuantileDR.65","QuantileDR.75","QuantileDR.85","QuantileDR.95","datx11.Ticker","saq"
"C077.F",0.006,0.017,0.018,0.226,7,-0.011,-0.006,-0.003,-0.002,-0.001,0.002,0.004,0.005,0.011,"C077.F","ComStage ETF STOXX Europe 600_Telecommunication"
"DXSG.F",0.01,0.016,0.023,0.253,7,-0.011,-0.006,-0.003,-0.002,-0.001,0.002,0.004,0.007,0.012,"DXSG.F","db x-trackers Stoxx® Europe 600_Telecommunication"
"EXX2.F",0.006,0.016,0.015,0.247,7,-0.011,-0.007,-0.004,-0.002,-0.001,0.002,0.004,0.007,0.015,"EXX2.F","iShares EURO STOXX Telecommunications_Telecommunication"
"EXV2.F",0.009,0.015,0.02,0.263,7,-0.011,-0.006,-0.004,-0.001,0,0.002,0.004,0.006,0.011,"EXV2.F","iShares STOXX Europe 600 Telecommunicat_Telecommunication"
"LYPI.F",0.002,0.006,0.009,0.6,7,-0.006,-0.004,-0.002,-0.001,0,0.003,0.005,0.008,0.011,"LYPI.F","Lyxor ETF MSCI World Telecommunication_Telecommunication"
"LYYK.F",0.011,0.016,0.025,0.255,7,-0.012,-0.006,-0.003,-0.002,-0.001,0.002,0.004,0.007,0.014,"LYYK.F","Lyxor ETF STOXX Europe 600 Telecommun_Telecommunication"
"SPYT.F",0.01,0.019,0.021,0.193,7,-0.012,-0.006,-0.004,-0.002,-0.002,0.002,0.004,0.008,0.012,"SPYT.F","SPDR MSCI Europe Telecommunication Serv_Telecommunication"
"18M3.F",0.01,0.018,0.025,0.199,8,-0.012,-0.007,-0.003,-0.001,0,0.003,0.005,0.008,0.014,"18M3.F","AMUNDI ETF MSCI EUROPE BANKS_Banks"
"C062.F",0.009,0.017,0.026,0.21,8,-0.013,-0.007,-0.004,-0.001,0.001,0.004,0.005,0.008,0.014,"C062.F","ComStage ETF STOXX Europe 600 Banks N_Banks"
"DXSF.F",0.009,0.017,0.023,0.213,8,-0.011,-0.007,-0.003,-0.001,0.001,0.003,0.005,0.008,0.014,"DXSF.F","db x-trackers Stoxx® Europe 600 Banks ETF_Banks"
"EXX1.F",0.006,0.026,0.015,0.11,8,-0.017,-0.009,-0.004,-0.001,-0.001,0.004,0.007,0.009,0.016,"EXX1.F","iShares EURO STOXX Banks (DE)_Banks"
"EXV1.F",0.009,0.018,0.024,0.19,8,-0.012,-0.008,-0.003,-0.001,0,0.003,0.005,0.008,0.015,"EXV1.F","iShares STOXX Europe 600 Banks (DE)_Banks"
"LYYP.F",0.012,0.016,0.029,0.222,8,-0.012,-0.007,-0.003,-0.001,0.001,0.004,0.005,0.008,0.014,"LYYP.F","Lyxor ETF STOXX Europe 600 Banks_Banks"
