"","StationaryDistribution","Membership","QuantileSR.10","QuantileSR.25","QuantileSR.35","QuantileSR.45","QuantileSR.50","QuantileSR.65","QuantileSR.75","QuantileSR.85","QuantileSR.95","Name","Exchange","Category.Name","Country"
"FB",0.005,1,-0.011,-0.004,0,0.004,0.007,0.012,0.017,0.023,0.035,"Facebook, Inc.","NMS","Internet Information Providers","USA"
"GOOG",0.012,1,-0.016,-0.006,-0.001,0.003,0.005,0.013,0.02,0.026,0.046,"Alphabet Inc.","NMS","Internet Information Providers","USA"
"GOOGL",0.012,1,-0.016,-0.006,-0.002,0.003,0.005,0.013,0.02,0.026,0.044,"Alphabet Inc.","NMS","Internet Information Providers","USA"
"HSIC",0.005,1,-0.021,-0.013,-0.008,-0.004,-0.002,0.007,0.013,0.019,0.025,"Henry Schein, Inc.","NMS","Medical Equipment Wholesale","USA"
"INTC",0.005,1,-0.022,-0.009,-0.001,0.006,0.009,0.017,0.023,0.029,0.04,"Intel Corporation","NMS","Semiconductor - Broad Line","USA"
"INTU",0.006,1,-0.012,-0.001,0.005,0.01,0.012,0.018,0.021,0.026,0.038,"Intuit Inc.","NMS","Application Software","USA"
"ISRG",0.005,1,-0.015,-0.004,0.004,0.009,0.011,0.017,0.022,0.028,0.04,"Intuitive Surgical, Inc.","NMS","Medical Appliances & Equipment","USA"
"KLAC",0.009,1,-0.019,-0.01,-0.003,0.002,0.004,0.012,0.017,0.024,0.039,"KLA-Tencor Corporation","NMS","Semiconductor Equipment & Materials","USA"
"MAR",0.007,1,-0.014,-0.006,0.003,0.008,0.01,0.018,0.024,0.028,0.036,"Marriott International, Inc.","NMS","Lodging","USA"
"MSFT",0.012,1,-0.008,-0.003,0.002,0.005,0.008,0.016,0.019,0.026,0.043,"Microsoft Corporation","NMS","Business Software & Services","USA"
"MU",0.006,1,-0.018,-0.005,-0.001,0.003,0.005,0.014,0.022,0.031,0.041,"Micron Technology, Inc.","NMS","Semiconductor- Memory Chips","USA"
"MXIM",0.01,1,-0.016,-0.007,-0.001,0.004,0.008,0.013,0.019,0.026,0.044,"Maxim Integrated Products, Inc.","NMS","Semiconductor - Broad Line","USA"
"NFLX",0.009,1,-0.014,-0.007,-0.002,0.007,0.011,0.019,0.026,0.031,0.038,"Netflix, Inc.","NMS","CATV Systems","USA"
"NVDA",0.01,1,-0.013,-0.005,0,0.006,0.007,0.016,0.021,0.03,0.048,"NVIDIA Corporation","NMS","Semiconductor - Specialized","USA"
"QCOM",0.005,1,-0.02,-0.012,-0.007,-0.004,-0.002,0.007,0.011,0.019,0.03,"QUALCOMM Incorporated","NMS","Communication Equipment","USA"
"SWKS",0.008,1,-0.023,-0.013,-0.007,-0.001,0.001,0.008,0.015,0.022,0.037,"Skyworks Solutions, Inc.","NMS","Semiconductor - Integrated Circuits","USA"
"SBUX",0.004,1,-0.02,-0.01,-0.007,-0.002,-0.001,0.007,0.013,0.018,0.031,"Starbucks Corporation","NMS","Specialty Eateries","USA"
"TXN",0.011,1,-0.013,-0.004,0.001,0.007,0.01,0.02,0.026,0.033,0.045,"Texas Instruments Incorporated","NMS","Semiconductor - Broad Line","USA"
"WDC",0.005,1,-0.023,-0.014,-0.006,-0.004,-0.001,0.009,0.017,0.025,0.036,"Western Digital Corporation","NMS","Data Storage Devices","USA"
"IDXX",0.008,1,-0.015,-0.007,-0.001,0.005,0.008,0.014,0.019,0.029,0.048,"IDEXX Laboratories, Inc.","NMS","Diagnostic Substances","USA"
"LRCX",0.01,1,-0.023,-0.01,-0.001,0.005,0.007,0.012,0.017,0.026,0.045,"Lam Research Corporation","NMS","Semiconductor Equipment & Materials","USA"
"MCHP",0.011,1,-0.017,-0.009,-0.004,0.004,0.007,0.017,0.024,0.031,0.049,"Microchip Technology Incorporated","NMS","Semiconductor - Broad Line","USA"
"STX",0.005,1,-0.015,-0.007,-0.002,0.002,0.004,0.01,0.017,0.026,0.042,"Seagate Technology plc","NMS","Data Storage Devices","USA"
"XLNX",0.007,1,-0.02,-0.012,-0.006,-0.003,0,0.01,0.021,0.03,0.041,"Xilinx, Inc.","NMS","Semiconductor - Integrated Circuits","USA"
"^NDX",0.016,1,-0.01,-0.003,0.001,0.007,0.009,0.016,0.023,0.031,0.047,"-","-","-","-"
"^NDXT",0.014,1,-0.016,-0.005,0.001,0.008,0.01,0.017,0.023,0.029,0.052,"-","-","-","-"
"CELG",0.006,2,-0.022,-0.013,-0.008,-0.005,-0.004,0.003,0.012,0.019,0.036,"Celgene Corporation","NMS","Biotechnology","USA"
"ALNY",0.004,2,-0.022,-0.008,-0.004,0,0.003,0.008,0.013,0.018,0.03,"Alnylam Pharmaceuticals, Inc.","NMS","Biotechnology","USA"
"TSRO",0.004,2,-0.028,-0.019,-0.013,-0.01,-0.008,-0.004,0,0.006,0.015,"Tesaro, Inc.","NMS","Biotechnology","USA"
"ACAD",0.005,2,-0.02,-0.013,-0.009,-0.004,0,0.007,0.012,0.019,0.031,"ACADIA Pharmaceuticals Inc.","NMS","Biotechnology","USA"
"PBYI",0.004,2,-0.019,-0.013,-0.008,-0.003,-0.001,0.007,0.013,0.019,0.029,"Puma Biotechnology, Inc.","NMS","Biotechnology","USA"
"CLVS",0.005,2,-0.031,-0.022,-0.015,-0.008,-0.005,0.005,0.01,0.016,0.021,"Clovis Oncology, Inc.","NMS","Biotechnology","USA"
"HALO",0.005,2,-0.016,-0.008,-0.003,0.001,0.002,0.01,0.016,0.022,0.032,"Halozyme Therapeutics, Inc.","NMS","Biotechnology","USA"
