"","StationaryDistribution","Membership","QuantileSR.10","QuantileSR.25","QuantileSR.35","QuantileSR.45","QuantileSR.50","QuantileSR.65","QuantileSR.75","QuantileSR.85","QuantileSR.95","Name","Exchange","Category.Name","Country"
"PCG",0.004,10,-0.03,-0.021,-0.016,-0.008,-0.005,0.004,0.013,0.019,0.029,"PG&E Corporation","NYQ","Electric Utilities","USA"
"ES",0.005,10,-0.027,-0.015,-0.009,-0.004,-0.002,0.008,0.015,0.019,0.029,"Eversource Energy","NYQ","Diversified Utilities","USA"
"^XAX",0.007,11,-0.024,-0.011,-0.007,-0.002,0.002,0.013,0.019,0.027,0.043,"-","-","-","-"
"CVX",0.006,11,-0.02,-0.007,-0.001,0.005,0.009,0.018,0.024,0.031,0.04,"Chevron Corporation","NYQ","Major Integrated Oil & Gas","USA"
"GE",0.005,11,-0.033,-0.022,-0.018,-0.014,-0.013,-0.006,-0.001,0.009,0.025,"General Electric Company","NYQ","Diversified Machinery","USA"
"SLB",0.008,11,-0.036,-0.017,-0.009,-0.003,0,0.012,0.019,0.026,0.047,"Schlumberger Limited","NYQ","Oil & Gas Equipment & Services","USA"
"COP",0.007,11,-0.019,-0.007,-0.002,0.006,0.011,0.02,0.024,0.033,0.053,"ConocoPhillips","NYQ","Independent Oil & Gas","USA"
"EOG",0.007,11,-0.027,-0.009,-0.003,0.004,0.008,0.017,0.025,0.033,0.049,"EOG Resources, Inc.","NYQ","Independent Oil & Gas","USA"
"OXY",0.007,11,-0.024,-0.006,0.002,0.008,0.01,0.018,0.021,0.03,0.059,"Occidental Petroleum Corporation","NYQ","Independent Oil & Gas","USA"
"PXD",0.007,11,-0.023,-0.015,-0.005,0.002,0.004,0.012,0.02,0.029,0.047,"Pioneer Natural Resources Company","NYQ","Independent Oil & Gas","USA"
"VNO",0.004,12,-0.026,-0.014,-0.006,0,0.002,0.009,0.013,0.02,0.038,"Vornado Realty Trust","NYQ","REIT - Diversified","USA"
"PSA",0.004,12,-0.019,-0.01,-0.007,-0.003,0,0.007,0.012,0.019,0.039,"Public Storage","NYQ","REIT - Industrial","USA"
"SLG",0.004,12,-0.029,-0.014,-0.009,-0.003,-0.001,0.01,0.016,0.022,0.035,"SL Green Realty Corp.","NYQ","REIT - Retail","USA"
"UNH",0.005,13,-0.013,-0.002,0.004,0.007,0.009,0.015,0.019,0.025,0.037,"UnitedHealth Group Incorporated","NYQ","Health Care Plans","USA"
"ANTM",0.004,13,-0.016,-0.006,-0.002,0.001,0.003,0.011,0.019,0.028,0.041,"Anthem, Inc.","NYQ","Health Care Plans","USA"
"AET",0.006,13,-0.024,-0.004,0.001,0.005,0.008,0.016,0.019,0.026,0.042,"Aetna Inc.","NYQ","Health Care Plans","USA"
"CI",0.005,13,-0.019,-0.006,0,0.005,0.006,0.012,0.017,0.025,0.034,"Cigna Corporation","NYQ","Health Care Plans","USA"
"HUM",0.005,13,-0.025,-0.011,-0.003,0.004,0.007,0.017,0.021,0.028,0.043,"Humana Inc.","NYQ","Health Care Plans","USA"
