"","StationaryDistribution","Membership","QuantileSR.10","QuantileSR.25","QuantileSR.35","QuantileSR.45","QuantileSR.50","QuantileSR.65","QuantileSR.75","QuantileSR.85","QuantileSR.95","Name","Exchange","Category.Name","Country"
"THO.TO",NA,1,-0.021,-0.013,-0.009,-0.005,-0.003,0.002,0.006,0.01,0.022,"Tahoe Resources Inc.","TOR","Industrial Metals & Minerals","Canada"
"TSP.V",NA,1,-0.18,-0.141,-0.122,-0.016,-0.016,-0.009,0,0.011,0.016,"TitanStar Properties Inc.","VAN","Real Estate Development","Canada"
"VRX.TO",NA,1,-0.024,-0.013,-0.005,0.006,0.009,0.017,0.023,0.031,0.04,"Valeant Pharmaceuticals International, Inc.","TOR","Drugs - Generic","Canada"
"WJX.TO",NA,1,-0.024,-0.01,-0.004,0,0.003,0.009,0.015,0.02,0.03,"Wajax Corporation","TOR","Industrial Equipment Wholesale","Canada"
"WRN.TO",NA,1,-0.029,-0.013,-0.008,-0.004,-0.002,0.003,0.008,0.015,0.024,"Western Copper and Gold Corporation","TOR","Copper","Canada"
"XTC.TO",NA,1,-0.028,-0.015,-0.009,-0.006,-0.004,0.002,0.008,0.014,0.026,"Exco Technologies Limited","TOR","Auto Parts","Canada"
"X.TO",NA,1,-0.018,-0.009,-0.003,0.001,0.003,0.009,0.015,0.022,0.035,"TMX Group Limited","TOR","Asset Management","Canada"
"YRI.TO",NA,1,-0.02,-0.009,-0.004,-0.001,0.002,0.007,0.011,0.016,0.027,"Yamana Gold Inc.","TOR","Gold","Canada"
"ZKL.V",NA,1,-0.166,-0.124,-0.101,-0.016,-0.016,-0.01,0,0.011,0.016,"China Keli Electric Company Ltd","VAN","Diversified Electronics","Canada"
"BBD-B.TO",NA,1,-0.02,-0.009,-0.002,0.004,0.007,0.015,0.018,0.027,0.035,"Bombardier Inc.","TOR","Aerospace/Defense - Major Diversified","Canada"
