"","StationaryDistribution","GOP","Membership","QuantileDR.10","QuantileDR.25","QuantileDR.35","QuantileDR.45","QuantileDR.50","QuantileDR.65","QuantileDR.75","QuantileDR.85","QuantileDR.95","Ticker","Name"
"ISPA.F",0.002,0.008,1,-0.006,-0.003,-0.002,0,0,0.002,0.003,0.004,0.009,"ISPA.F","iShares (DE) I - iShares STOXX Global Select Dividend 100 UCITS ETF (DE)"
"SC0F.F",0.008,0.023,1,-0.009,-0.003,-0.002,0,0.001,0.003,0.005,0.006,0.009,"SC0F.F","Source Markets plc - Source STOXX Europe Small 200 UCITS ETF"
"C050.F",0.02,0.065,1,-0.011,-0.004,-0.001,0,0.001,0.003,0.004,0.006,0.01,"C050.F","ComStage - EURO STOXX 50 NR UCITS ETF"
"XD5F.F",0.02,0.06,1,-0.011,-0.003,-0.001,0.001,0.001,0.003,0.005,0.007,0.009,"XD5F.F","db x-trackers - EURO STOXX 50 ex Financials UCITS ETF (DR)"
"EXFN.L",0.001,0.002,1,-0.001,0,0,0,0,0,0,0.002,0.008,"EXFN.L","iShares II Public Limited Company - iShares EURO STOXX 50 ex-Financials UCITS ETF"
"AE50.F",0.01,0.034,1,-0.009,-0.003,-0.002,0,0.001,0.003,0.004,0.006,0.011,"AE50.F","Amundi ETF STOXX Europe 50 UCITS ETF"
"EL4D.F",0.002,0.008,1,-0.009,-0.003,-0.002,-0.001,0,0.002,0.003,0.006,0.01,"EL4D.F","Deka STOXX Europe Strong Value 20 UCITS ETF"
"EL4Y.F",0.007,0.021,1,-0.009,-0.003,-0.001,0,0,0.002,0.003,0.006,0.008,"EL4Y.F","Deka STOXX Europe 50 UCITS ETF"
"EUHD.PA",0.004,0.016,1,-0.008,-0.003,-0.002,-0.001,0,0.002,0.003,0.004,0.009,"EUHD.PA","PowerShares Global Funds Ireland plc - PowerShares EURO STOXX High Dividend Low Volatility UCITS ETF"
"ELOW.PA",0.008,0.026,1,-0.006,-0.003,-0.001,0,0,0.002,0.004,0.005,0.007,"ELOW.PA","SSgA SPDR ETFs Europe II Public Limited Company - SPDR EURO STOXX Low Volatility UCITS ETF"
