"","Item","StationaryDistribution"
"Non.metallic.mineral.product.manufacturing..except.cement.and.concrete.products..","Non-metallic mineral product manufacturing (except cement and concrete products) (x 1,000,000)",0.000201229155639126
"Sugar.and.confectionery.product.manufacturing.","Sugar and confectionery product manufacturing (x 1,000,000)",0.000196814659018984
"Coal.mining.","Coal mining (x 1,000,000)",0.000195659438347788
"Cement.and.concrete.product.manufacturing.","Cement and concrete product manufacturing (x 1,000,000)",0.000190461158395352
"Non.ferrous.metal..except.aluminum..production.and.processing.","Non-ferrous metal (except aluminum) production and processing (x 1,000,000)",0.000184132132870385
"Wineries.and.distilleries.","Wineries and distilleries (x 1,000,000)",0.00018335193215322
"Coating..engraving..heat.treating.and.allied.activities.","Coating, engraving, heat treating and allied activities (x 1,000,000)",0.000168876344168304
"Other.metal.ore.mining.","Other metal ore mining (x 1,000,000)",0.000163737080645441
"Other.transportation.equipment.manufacturing.","Other transportation equipment manufacturing (x 1,000,000)",0.000162733015392971
"Fishing..hunting.and.trapping.","Fishing, hunting and trapping (x 1,000,000)",0.000158056399920866
"Petroleum.refineries.","Petroleum refineries (x 1,000,000)",0.000157701938040908
"Engine..turbine.and.power.transmission.equipment.manufacturing.","Engine, turbine and power transmission equipment manufacturing (x 1,000,000)",0.000157206264937072
"Other.electronic.product.manufacturing.","Other electronic product manufacturing (x 1,000,000)",0.000153735232944535
"Tobacco.manufacturing.","Tobacco manufacturing (x 1,000,000)",0.000151960961850395
"Miscellaneous.manufacturing.","Miscellaneous manufacturing (x 1,000,000)",0.000139487150212357
"Breweries.","Breweries (x 1,000,000)",0.000130951974354237
"Farm.product.wholesaler.distributors.","Farm product wholesaler-distributors (x 1,000,000)",0.000127475110097187
"Other.chemical.product.manufacturing.","Other chemical product manufacturing (x 1,000,000)",0.000123047480232567
"Beverage.and.tobacco.product.manufacturing.","Beverage and tobacco product manufacturing (x 1,000,000)",0.000122960900025246
"Seafood.product.preparation.and.packaging.","Seafood product preparation and packaging (x 1,000,000)",0.000107730460878502
"Soft.drink.and.ice.manufacturing.","Soft drink and ice manufacturing (x 1,000,000)",8.8771032961086e-05
